"","hmm","V2","V3"
"3%","-115","TL4","IPP"
"10%","-70","TL4","IPP"
"20%","-45","TL4","IPP"
"30%","-30","TL4","IPP"
"3%1","-123","TL2","IPP"
"10%1","-79","TL2","IPP"
"20%1","-54","TL2","IPP"
"30%1","-40","TL2","IPP"
"3%2","-130","SH6","IPP"
"10%2","-90","SH6","IPP"
"20%2","-63","SH6","IPP"
"30%2","-49","SH6","IPP"
"3%3","-136","NB9","IPP"
"10%3","-85","NB9","IPP"
"20%3","-60","NB9","IPP"
"30%3","-44","NB9","IPP"
"3%4","-122","NB8","IPP"
"10%4","-74","NB8","IPP"
"20%4","-47","NB8","IPP"
"30%4","-32","NB8","IPP"
"3%5","-106","NB3","IPP"
"10%5","-60","NB3","IPP"
"20%5","-36","NB3","IPP"
"30%5","-26","NB3","IPP"
"3%6","-132","NB1","IPP"
"10%6","-92","NB1","IPP"
"20%6","-70","NB1","IPP"
"30%6","-55","NB1","IPP"
"3%7","-123","GR8","IPP"
"10%7","-76","GR8","IPP"
"20%7","-51","GR8","IPP"
"30%7","-37","GR8","IPP"
"3%8","-127","GR3","IPP"
"10%8","-85","GR3","IPP"
"20%8","-57","GR3","IPP"
"30%8","-42","GR3","IPP"
"3%9","-107","GR1","IPP"
"10%9","-63","GR1","IPP"
"20%9","-37","GR1","IPP"
"30%9","-22","GR1","IPP"
"3%10","-121","TL4","Glades"
"10%10","-37","TL4","Glades"
"20%10","-20","TL4","Glades"
"30%10","-11","TL4","Glades"
"3%11","-60","TL2","Glades"
"10%11","-31","TL2","Glades"
"20%11","-19","TL2","Glades"
"30%11","-11","TL2","Glades"
"3%12","-50","SH6","Glades"
"10%12","-29","SH6","Glades"
"20%12","-20","SH6","Glades"
"30%12","-14","SH6","Glades"
"3%13","-27","NB8","Glades"
"10%13","-11","NB8","Glades"
"20%13","-1","NB8","Glades"
"30%13","6","NB8","Glades"
"3%14","-29","NB3","Glades"
"10%14","-12","NB3","Glades"
"20%14","-2","NB3","Glades"
"30%14","5","NB3","Glades"
"3%15","-137","NB1","Glades"
"10%15","-108","NB1","Glades"
"20%15","-81","NB1","Glades"
"30%15","-61","NB1","Glades"
"3%16","-27","GS3","Glades"
"10%16","-12","GS3","Glades"
"20%16","-1","GS3","Glades"
"30%16","5","GS3","Glades"
"3%17","-39","GR8","Glades"
"10%17","-19","GR8","Glades"
"20%17","-8","GR8","Glades"
"30%17","-1","GR8","Glades"
"3%18","-63","GR3","Glades"
"10%18","-31","GR3","Glades"
"20%18","-17","GR3","Glades"
"30%18","-9","GR3","Glades"
"3%19","-45","GR1","Glades"
"10%19","-23","GR1","Glades"
"20%19","-12","GR1","Glades"
"30%19","-6","GR1","Glades"
"3%20","-178","TL4","NW of Shark Slough"
"10%20","-144","TL4","NW of Shark Slough"
"20%20","-75","TL4","NW of Shark Slough"
"30%20","-38","TL4","NW of Shark Slough"
"3%21","-147","TL2","NW of Shark Slough"
"10%21","-92","TL2","NW of Shark Slough"
"20%21","-45","TL2","NW of Shark Slough"
"30%21","-29","TL2","NW of Shark Slough"
"3%22","-123.63","SH6","NW of Shark Slough"
"10%22","-75","SH6","NW of Shark Slough"
"20%22","-45.2","SH6","NW of Shark Slough"
"30%22","-36","SH6","NW of Shark Slough"
"3%23","-115","NB8","NW of Shark Slough"
"10%23","-78","NB8","NW of Shark Slough"
"20%23","-51","NB8","NW of Shark Slough"
"30%23","-36","NB8","NW of Shark Slough"
"3%24","-106","NB3","NW of Shark Slough"
"10%24","-90","NB3","NW of Shark Slough"
"20%24","-72.2","NB3","NW of Shark Slough"
"30%24","-44","NB3","NW of Shark Slough"
"3%25","-142","NB1","NW of Shark Slough"
"10%25","-116","NB1","NW of Shark Slough"
"20%25","-86","NB1","NW of Shark Slough"
"30%25","-64","NB1","NW of Shark Slough"
"3%26","-85","GR8","NW of Shark Slough"
"10%26","-38","GR8","NW of Shark Slough"
"20%26","-20","GR8","NW of Shark Slough"
"30%26","-11","GR8","NW of Shark Slough"
"3%27","-105","GR3","NW of Shark Slough"
"10%27","-57","GR3","NW of Shark Slough"
"20%27","-33","GR3","NW of Shark Slough"
"30%27","-22","GR3","NW of Shark Slough"
"3%28","-103","GR1","NW of Shark Slough"
"10%28","-82","GR1","NW of Shark Slough"
"20%28","-55","GR1","NW of Shark Slough"
"30%28","-28","GR1","NW of Shark Slough"
"3%29","-130","TL4","Deep Lake"
"10%29","-89","TL4","Deep Lake"
"20%29","-50","TL4","Deep Lake"
"30%29","-31","TL4","Deep Lake"
"3%30","-118","TL2","Deep Lake"
"10%30","-71","TL2","Deep Lake"
"20%30","-40","TL2","Deep Lake"
"30%30","-23","TL2","Deep Lake"
