"","hmm","V2","V3"
"3%","-130","TL4","Glades"
"10%","-37","TL4","Glades"
"20%","-18","TL4","Glades"
"30%","-6","TL4","Glades"
"3%1","-56","TL2","Glades"
"10%1","-34","TL2","Glades"
"20%1","-21","TL2","Glades"
"30%1","-14","TL2","Glades"
"3%2","-79","SH6","Glades"
"10%2","-46","SH6","Glades"
"20%2","-32","SH6","Glades"
"30%2","-24","SH6","Glades"
"3%3","-29","NB8","Glades"
"10%3","-12","NB8","Glades"
"20%3","-1","NB8","Glades"
"30%3","6","NB8","Glades"
"3%4","-32","NB3","Glades"
"10%4","-18","NB3","Glades"
"20%4","-9","NB3","Glades"
"30%4","-2","NB3","Glades"
"3%5","-150","NB1","Glades"
"10%5","-138","NB1","Glades"
"20%5","-130","NB1","Glades"
"30%5","-121","NB1","Glades"
"3%6","-30","GS3","Glades"
"10%6","-15","GS3","Glades"
"20%6","-5","GS3","Glades"
"30%6","1","GS3","Glades"
"3%7","-42","GR8","Glades"
"10%7","-23","GR8","Glades"
"20%7","-12","GR8","Glades"
"30%7","-5","GR8","Glades"
"3%8","-88","GR3","Glades"
"10%8","-52","GR3","Glades"
"20%8","-29","GR3","Glades"
"30%8","-18","GR3","Glades"
"3%9","-51","GR1","Glades"
"10%9","-26","GR1","Glades"
"20%9","-14","GR1","Glades"
"30%9","-7","GR1","Glades"
"3%10","-208","TL2","CONSERVATION AREA 3B"
"10%10","-182","TL2","CONSERVATION AREA 3B"
"20%10","-138","TL2","CONSERVATION AREA 3B"
"30%10","-103","TL2","CONSERVATION AREA 3B"
"3%11","-66","NB1","CONSERVATION AREA 3B"
"10%11","-44","NB1","CONSERVATION AREA 3B"
"20%11","-30","NB1","CONSERVATION AREA 3B"
"30%11","-23","NB1","CONSERVATION AREA 3B"
"3%12","-195","GR8","CONSERVATION AREA 3B"
"10%12","-122","GR8","CONSERVATION AREA 3B"
"20%12","-99","GR8","CONSERVATION AREA 3B"
"30%12","-69.9000000000001","GR8","CONSERVATION AREA 3B"
"3%13","-132","TL4","CONSERVATION AREA 3A"
"10%13","-109","TL4","CONSERVATION AREA 3A"
"20%13","-97","TL4","CONSERVATION AREA 3A"
"30%13","-88","TL4","CONSERVATION AREA 3A"
"3%14","-113","TL2","CONSERVATION AREA 3A"
"10%14","-78","TL2","CONSERVATION AREA 3A"
"20%14","-45","TL2","CONSERVATION AREA 3A"
"30%14","-27","TL2","CONSERVATION AREA 3A"
"3%15","-111","NB8","CONSERVATION AREA 3A"
"10%15","-78","NB8","CONSERVATION AREA 3A"
"20%15","-43","NB8","CONSERVATION AREA 3A"
"30%15","-25","NB8","CONSERVATION AREA 3A"
"3%16","-84.99","NB1","CONSERVATION AREA 3A"
"10%16","-64","NB1","CONSERVATION AREA 3A"
"20%16","-44","NB1","CONSERVATION AREA 3A"
"30%16","-32","NB1","CONSERVATION AREA 3A"
"3%17","-97","GR8","CONSERVATION AREA 3A"
"10%17","-61","GR8","CONSERVATION AREA 3A"
"20%17","-31","GR8","CONSERVATION AREA 3A"
"30%17","-15","GR8","CONSERVATION AREA 3A"
"3%18","-62.62","GR1","CONSERVATION AREA 3A"
"10%18","-37","GR1","CONSERVATION AREA 3A"
"20%18","-28","GR1","CONSERVATION AREA 3A"
"30%18","-25","GR1","CONSERVATION AREA 3A"
"3%19","-51","TL2","Coastal Prairie"
"10%19","-36","TL2","Coastal Prairie"
"20%19","-26","TL2","Coastal Prairie"
"30%19","-18","TL2","Coastal Prairie"
"3%20","-60","SH6","Coastal Prairie"
"10%20","-26","SH6","Coastal Prairie"
"20%20","-1","SH6","Coastal Prairie"
"30%20","11","SH6","Coastal Prairie"
"3%21","-44","NB8","Coastal Prairie"
"10%21","-26","NB8","Coastal Prairie"
"20%21","-12","NB8","Coastal Prairie"
"30%21","-1","NB8","Coastal Prairie"
"3%22","-43","GS3","Coastal Prairie"
"10%22","-29","GS3","Coastal Prairie"
"20%22","-18","GS3","Coastal Prairie"
"30%22","-9","GS3","Coastal Prairie"
"3%23","-52","GR8","Coastal Prairie"
"10%23","-40","GR8","Coastal Prairie"
"20%23","-30","GR8","Coastal Prairie"
"30%23","-23","GR8","Coastal Prairie"
"3%24","-39.87","GR3","Coastal Prairie"
"10%24","-14","GR3","Coastal Prairie"
"20%24","-3","GR3","Coastal Prairie"
"30%24","4.29999999999995","GR3","Coastal Prairie"
"3%25","-117","TL4","Deep Lake"
"10%25","-78","TL4","Deep Lake"
"20%25","-46","TL4","Deep Lake"
"30%25","-29","TL4","Deep Lake"
"3%26","-107","TL2","Deep Lake"
"10%26","-63","TL2","Deep Lake"
"20%26","-34","TL2","Deep Lake"
"30%26","-19","TL2","Deep Lake"
"3%27","-125","SH6","Deep Lake"
"10%27","-87","SH6","Deep Lake"
"20%27","-57","SH6","Deep Lake"
"30%27","-41","SH6","Deep Lake"
"3%28","-132.43","NB9","Deep Lake"
"10%28","-96","NB9","Deep Lake"
"20%28","-64","NB9","Deep Lake"
"30%28","-48","NB9","Deep Lake"
"3%29","-121.31","NB8","Deep Lake"
"10%29","-88.7","NB8","Deep Lake"
"20%29","-62","NB8","Deep Lake"
"30%29","-40.1","NB8","Deep Lake"
"3%30","-134","NB3","Deep Lake"
