"","hmm","V2","V3"
"3%","-96","tl4","Glades"
"10%","-35","tl4","Glades"
"20%","-18","tl4","Glades"
"30%","-7","tl4","Glades"
"3%1","-63","tl2","Glades"
"10%1","-35","tl2","Glades"
"20%1","-22","tl2","Glades"
"30%1","-14","tl2","Glades"
"3%2","-62","sh6","Glades"
"10%2","-36","sh6","Glades"
"20%2","-24","sh6","Glades"
"30%2","-17","sh6","Glades"
"3%3","-37","nb9","Glades"
"10%3","-16","nb9","Glades"
"20%3","-4","nb9","Glades"
"30%3","4","nb9","Glades"
"3%4","-32","nb8","Glades"
"10%4","-18","nb8","Glades"
"20%4","-8","nb8","Glades"
"30%4","-1","nb8","Glades"
"3%5","-135","nb3","Glades"
"10%5","-113","nb3","Glades"
"20%5","-86","nb3","Glades"
"30%5","-64","nb3","Glades"
"3%6","-31","nb1","Glades"
"10%6","-16","nb1","Glades"
"20%6","-6","nb1","Glades"
"30%6","1","nb1","Glades"
"3%7","-43","gs3","Glades"
"10%7","-23","gs3","Glades"
"20%7","-12","gs3","Glades"
"30%7","-5","gs3","Glades"
"3%8","-69","gr8","Glades"
"10%8","-38","gr8","Glades"
"20%8","-21","gr8","Glades"
"30%8","-12","gr8","Glades"
"3%9","-53","gr3","Glades"
"10%9","-27","gr3","Glades"
"20%9","-15","gr3","Glades"
"30%9","-7","gr3","Glades"
"3%10","-82","tl4","CONSERVATION AREA 1"
"10%10","-67","tl4","CONSERVATION AREA 1"
"20%10","-50","tl4","CONSERVATION AREA 1"
"30%10","-25.5","tl4","CONSERVATION AREA 1"
"3%11","-80","tl2","CONSERVATION AREA 1"
"10%11","-61","tl2","CONSERVATION AREA 1"
"20%11","-37","tl2","CONSERVATION AREA 1"
"30%11","15","tl2","CONSERVATION AREA 1"
"3%12","-54","sh6","CONSERVATION AREA 1"
"10%12","-33","sh6","CONSERVATION AREA 1"
"20%12","-24","sh6","CONSERVATION AREA 1"
"30%12","-18","sh6","CONSERVATION AREA 1"
"3%13","-130","tl4","CONSERVATION AREA 3B"
"10%13","-75","tl4","CONSERVATION AREA 3B"
"20%13","-54","tl4","CONSERVATION AREA 3B"
"30%13","-42","tl4","CONSERVATION AREA 3B"
"3%14","-173","tl2","CONSERVATION AREA 3B"
"10%14","-72","tl2","CONSERVATION AREA 3B"
"20%14","-47","tl2","CONSERVATION AREA 3B"
"30%14","-34","tl2","CONSERVATION AREA 3B"
"3%15","-128","sh6","CONSERVATION AREA 3B"
"10%15","-74","sh6","CONSERVATION AREA 3B"
"20%15","-50","sh6","CONSERVATION AREA 3B"
"30%15","-36","sh6","CONSERVATION AREA 3B"
"3%16","-172","nb9","CONSERVATION AREA 3B"
"10%16","-92","nb9","CONSERVATION AREA 3B"
"20%16","-53","nb9","CONSERVATION AREA 3B"
"30%16","-37","nb9","CONSERVATION AREA 3B"
"3%17","-70","nb8","CONSERVATION AREA 3B"
"10%17","-49","nb8","CONSERVATION AREA 3B"
